vloz;2700;30;4665
vyber;700;29;6460
ukaz;500;29;6422
ukaz;400;29;9210
vloz;2400;30;7343
vloz;3000;31;8384
vyber;1200;30;2410
vyber;800;29;120
ukaz;500;29;2677
vyber;700;28;7689
vyber;800;27;5657
vloz;2900;28;8852
ukaz;500;28;9552
vloz;2700;29;8014
vloz;2500;30;7943
ukaz;600;30;6072
vloz;2600;31;7919
vyber;800;30;4661
ukaz;600;30;5204
vyber;1100;29;8415
ukaz;500;29;9522
vyber;800;28;5646
vyber;800;27;2713
vloz;2600;28;1423
ukaz;400;28;9265
vyber;800;27;5291
ukaz;500;27;7519
ukaz;400;27;8450
ukaz;500;27;7825
vyber;800;26;1354
ukaz;500;26;7700
ukaz;500;26;4145
ukaz;400;26;3178
ukaz;400;26;8471
vloz;3100;27;9264
vyber;900;26;8196
vyber;1700;25;2934
ukaz;600;25;4940
vyber;800;24;1862
vyber;700;23;2592
vyber;800;22;288
vyber;800;21;1386
vloz;3000;22;9299
vloz;1900;23;5534
vyber;700;22;1081
vyber;800;21;18
vyber;700;20;8428
ukaz;700;20;3013
vyber;800;19;5711
ukaz;500;19;4023
vyber;900;18;8587
vyber;700;17;9114
vyber;800;16;3737
ukaz;500;16;1384
ukaz;400;16;217
ukaz;500;16;591
ukaz;500;16;4316
vyber;700;15;6603
vyber;800;14;8165
vloz;1900;15;3385
vloz;2100;16;8530
vloz;2000;17;3637
ukaz;600;17;9581
vyber;1500;16;1894
vloz;1600;17;2273
vyber;800;16;2338
vloz;2100;17;5461
vloz;2000;18;4709
vloz;2200;19;7519
vloz;2400;20;5655
vloz;11500;21;5432
vloz;2700;22;815
vyber;1300;21;6384
ukaz;500;21;4262
ukaz;500;21;5277
vloz;2100;22;5043
ukaz;400;22;3995
vyber;800;21;2209
vloz;2900;22;9349
vyber;17100;21;2514
ukaz;800;21;2150
vyber;1100;20;131
vloz;2700;21;8440
ukaz;400;21;1587
vyber;900;20;8823
vyber;800;19;4798
ukaz;400;19;7903
vyber;1400;18;2339
ukaz;400;18;2716
ukaz;400;18;1973
vyber;700;17;4327
vloz;1900;18;3230
vyber;800;17;4251
ukaz;400;17;8143
vyber;1400;16;377
ukaz;600;16;6599
vyber;800;15;2980
vloz;1900;16;30
vyber;800;15;6250
vyber;700;14;9183
vloz;1400;15;6985
vyber;700;14;2109
vyber;700;13;6581
vyber;700;12;3514
vyber;700;11;9631
vloz;1400;12;6032
vloz;1500;13;2643
ukaz;500;13;2363
vyber;800;12;2604
vyber;700;11;3575
vloz;1400;12;1645
ukaz;1000;12;8089
vloz;2800;13;762
vyber;1100;12;89
vyber;1800;11;2105
ukaz;1600;11;6338
ukaz;400;11;6912
vyber;3300;10;7404
ukaz;1000;10;6834
vyber;1600;9;2155
vyber;2900;8;7597
vyber;1800;7;2677
ukaz;800;7;3272
vloz;5800;8;3072
ukaz;700;8;5629
vyber;1200;7;825
ukaz;400;7;9356
ukaz;500;7;8248
vyber;1100;6;8071
vloz;1400;7;3747
vyber;900;6;4510
vyber;700;5;4407
ukaz;400;5;637
vloz;1300;6;6755
vyber;800;5;4374
vyber;900;4;3042
vloz;1200;5;943
ukaz;500;5;3067
vyber;800;4;4845
ukaz;600;4;4907
vyber;700;3;6280
ukaz;800;3;629
vyber;1500;2;7071
vyber;1000;1;5589
vyber;1400;0;589
vyber;0;0;5763
vyber;0;0;9613
vyber;0;0;8587
vloz;1500;1;7305
vyber;900;0;8573
vyber;0;0;9915
vyber;0;0;6862
vyber;0;0;4022
vyber;0;0;7292
vloz;900;1;7149
ukaz;500;1;2632
vyber;800;0;1822
vloz;800;1;1667
vloz;1600;2;3830
vloz;1900;3;2814
ukaz;500;3;2740
ukaz;500;3;4366
ukaz;500;3;2030
vyber;900;2;1527
vloz;1800;3;5723
vyber;800;2;1246
vyber;800;1;7228
ukaz;500;1;5461
vyber;800;0;543
vyber;0;0;1898
vyber;0;0;9469
vyber;0;0;2773
vyber;0;0;9134
vyber;0;0;3199
vyber;0;0;1319
vyber;0;0;2925
vyber;0;0;7361
vyber;0;0;6953
vyber;0;0;266
vyber;0;0;604
vyber;0;0;1886
vyber;0;0;7338
vyber;0;0;9937
vyber;0;0;2508
vyber;0;0;9900
vloz;1200;1;2262
vyber;900;0;8659
vyber;0;0;875
vyber;0;0;1870
vloz;800;1;5787
vloz;1200;2;3527
vyber;800;1;3082
vloz;1200;2;675
ukaz;600;2;7418
vyber;800;1;2877
vloz;1900;2;8496
ukaz;500;2;1577
ukaz;400;2;8523
vyber;1100;1;8702
vyber;800;0;6385
vyber;0;0;2074
vyber;0;0;9112
vyber;0;0;3958
vloz;1100;1;1495
